Time Log File
Elapsed time: 0.0396169 seconds
Elapsed time: 0.0361993 seconds
Elapsed time: 0.0396897 seconds
Elapsed time: 0.0398425 seconds
Elapsed time: 0.0402688 seconds
Elapsed time: 0.0435089 seconds
Elapsed time: 0.0401854 seconds
Elapsed time: 0.0411232 seconds
Elapsed time: 0.0430046 seconds
Elapsed time: 0.0420296 seconds
Elapsed time: 0.0431679 seconds
Elapsed time: 0.0414093 seconds
Elapsed time: 0.0405568 seconds
Elapsed time: 0.0407207 seconds
Elapsed time: 0.0388954 seconds
Elapsed time: 0.0392253 seconds
Elapsed time: 0.0398681 seconds
Elapsed time: 0.0400275 seconds
Elapsed time: 0.0405068 seconds
Elapsed time: 0.03943 seconds
Elapsed time: 0.0397588 seconds
Elapsed time: 0.0391728 seconds
Elapsed time: 0.0440881 seconds
Elapsed time: 0.0389298 seconds
Elapsed time: 0.0406263 seconds
Elapsed time: 0.0379494 seconds
Elapsed time: 0.0406854 seconds
Elapsed time: 0.039862 seconds
Elapsed time: 0.0407439 seconds
Elapsed time: 0.0402383 seconds
Elapsed time: 0.041782 seconds
Elapsed time: 0.040561 seconds
Elapsed time: 0.0399794 seconds
Elapsed time: 0.0411082 seconds
Elapsed time: 0.0394872 seconds
Elapsed time: 0.0381872 seconds
Elapsed time: 0.0393995 seconds
Elapsed time: 0.0393053 seconds
Elapsed time: 0.0401677 seconds
Elapsed time: 0.038992 seconds
Elapsed time: 0.037294 seconds
Elapsed time: 0.0402759 seconds
Elapsed time: 0.0437724 seconds
Elapsed time: 0.04041 seconds
Elapsed time: 0.0385347 seconds
Elapsed time: 0.0395347 seconds
Elapsed time: 0.0405952 seconds
Elapsed time: 0.0427866 seconds
Elapsed time: 0.0383226 seconds
Elapsed time: 0.038027 seconds
Elapsed time: 0.0373565 seconds
Elapsed time: 0.0391009 seconds
Elapsed time: 0.0380112 seconds
Elapsed time: 0.0377074 seconds
Elapsed time: 0.0386035 seconds
Elapsed time: 0.0371969 seconds
Elapsed time: 0.0393452 seconds
Elapsed time: 0.0372251 seconds
Elapsed time: 0.0379776 seconds
Elapsed time: 0.0382824 seconds
Elapsed time: 0.0379356 seconds
Elapsed time: 0.040793 seconds
Elapsed time: 0.0386155 seconds
Elapsed time: 0.0400232 seconds
Elapsed time: 0.0402133 seconds
Elapsed time: 0.0404522 seconds
Elapsed time: 0.0410241 seconds
Elapsed time: 0.0471484 seconds
Elapsed time: 0.0405728 seconds
Elapsed time: 0.0398517 seconds
Elapsed time: 0.039442 seconds
Elapsed time: 0.0405804 seconds
Elapsed time: 0.0391053 seconds
Elapsed time: 0.0393896 seconds
Elapsed time: 0.0399594 seconds
Elapsed time: 0.0377766 seconds
Elapsed time: 0.0389064 seconds
Elapsed time: 0.0388868 seconds
Elapsed time: 0.0385798 seconds
Elapsed time: 0.0399693 seconds
Elapsed time: 0.0391018 seconds
Elapsed time: 0.0385905 seconds
Elapsed time: 0.0392566 seconds
Elapsed time: 0.03871 seconds
Elapsed time: 0.0401151 seconds
Elapsed time: 0.040584 seconds
Elapsed time: 0.0387076 seconds
Elapsed time: 0.0390888 seconds
Elapsed time: 0.0387111 seconds
Elapsed time: 0.040558 seconds
Elapsed time: 0.0407879 seconds
Elapsed time: 0.0421457 seconds
Elapsed time: 0.0469267 seconds
Elapsed time: 0.0413476 seconds
Elapsed time: 0.0401048 seconds
Elapsed time: 0.0418889 seconds
Elapsed time: 0.0409886 seconds
Elapsed time: 0.0408983 seconds
Elapsed time: 0.0406209 seconds
Elapsed time: 0.041354 seconds
Elapsed time: 0.0401272 seconds
Elapsed time: 0.0413404 seconds
Elapsed time: 0.0386894 seconds
Elapsed time: 0.03926 seconds
