lcTime pitch roll yaw velE velN velU lat lon height biasGx biasGy biasGz biasAx biasAy biasAz leverx levery leverz dt psrCorr psrRateDrift utc
1730951780 4.503531845792e-02 1.175989495988e+00 -9.666440646925e+01 3.759487878688e+00 -1.293664079506e-01 1.070800861606e-01 5.595594852513e-01 2.073683053652e+00 8.482175058594e+01 -4.955788679521e-04 -5.129494177365e-04 4.671469706833e-04 -1.215079316521e-01 -1.902092715170e-01 9.855417352586e-01 9.993186890429e-03 1.001574072567e-02 6.436524665688e-01 4.915707704361e-03 -1.331916260316e+05 -8.303063989095e-01 0.000000000000e+00 
1730951780 3.829237701399e-02 1.222966180365e+00 -9.617767829984e+01 4.415544042221e+00 -1.822930061368e-01 1.015962685604e-01 5.595594304375e-01 2.073683672673e+00 8.499442498535e+01 -5.015631869089e-04 -5.142083907691e-04 4.533806174637e-04 -1.235650546692e-01 -1.880000005879e-01 9.862329706180e-01 9.993078367424e-03 1.001606524099e-02 6.438751161664e-01 4.914965163061e-03 -1.331922453666e+05 -8.102067488485e-01 0.000000000000e+00 
1730951781 3.038324880887e-01 6.578822349625e-01 -9.532821317303e+01 4.545132712717e+00 -1.614658512011e-01 1.182407441026e-01 5.595593908409e-01 2.073684444455e+00 8.554249895094e+01 -5.045133660807e-04 -5.156824732792e-04 4.423168980297e-04 -1.244759110861e-01 -1.876900218050e-01 9.859950083054e-01 9.993118974597e-03 1.001626742139e-02 6.439677832738e-01 4.914981268929e-03 -1.331920637932e+05 -6.920441365854e-01 0.000000000000e+00 
1730951781 6.303562546288e-01 7.963206560663e-01 -9.438331391730e+01 4.866433785470e+00 -1.464466101638e-01 1.030881993245e-01 5.595593780873e-01 2.073685238281e+00 8.592417599995e+01 -5.068008909187e-04 -5.165209958290e-04 4.289721740542e-04 -1.249972694072e-01 -1.868271193994e-01 9.863315060144e-01 9.992943336562e-03 1.001626608531e-02 6.440635413877e-01 4.915014116714e-03 -1.331911983296e+05 -4.654802949436e-01 0.000000000000e+00 
1730951781 7.742259376334e-01 6.566335320371e-01 -9.246642096086e+01 4.931806785505e+00 -4.304571277815e-02 1.859639018107e-01 5.595593269201e-01 2.073685886803e+00 8.755260041579e+01 -5.178027259000e-04 -5.179369435900e-04 4.241732216146e-04 -1.267559890969e-01 -1.844585936677e-01 9.839847687362e-01 9.992838383200e-03 1.001691972353e-02 6.443843108619e-01 4.914381692329e-03 -1.331893339496e+05 -2.222138828199e-01 0.000000000000e+00 
1730951781 1.560571691742e+00 3.018169509924e-01 -9.008014524579e+01 5.165294129642e+00 1.422178774137e-01 2.906971100824e-01 5.595593203620e-01 2.073686667834e+00 8.877961847373e+01 -5.237638155353e-04 -5.192781809306e-04 4.188096737691e-04 -1.274779850780e-01 -1.834770666983e-01 9.830250094972e-01 9.992816167702e-03 1.001739634773e-02 6.445091221764e-01 4.915259037170e-03 -1.331872583807e+05 6.082605973022e-02 0.000000000000e+00 
1730951781 1.000941310953e+00 7.559034940923e-02 -8.754922648802e+01 5.514835541334e+00 3.219778406237e-01 3.033006375250e-01 5.595593557707e-01 2.073687542000e+00 8.994027960596e+01 -5.290840541185e-04 -5.203769458621e-04 4.135446188173e-04 -1.275715889149e-01 -1.827754920567e-01 9.823436282863e-01 9.992587490751e-03 1.001717933960e-02 6.446926499592e-01 4.914855989273e-03 -1.331858080121e+05 2.063871162732e-01 0.000000000000e+00 
1730951781 5.382888752623e-01 3.166085576047e-02 -8.476504893330e+01 5.584800880688e+00 6.011068483108e-01 2.666715143571e-01 5.595594081183e-01 2.073688428458e+00 9.075746090017e+01 -5.350979318725e-04 -5.225499142069e-04 4.107467984453e-04 -1.274160201956e-01 -1.808755923619e-01 9.822567485213e-01 9.992435606253e-03 1.001714326002e-02 6.448999879714e-01 4.914465355423e-03 -1.331851138928e+05 2.336916398060e-01 0.000000000000e+00 
1730951782 1.407452574863e+00 6.181271022018e-01 -8.271970604186e+01 5.435218642641e+00 6.907607520408e-01 3.616159310792e-01 5.595594824725e-01 2.073689480881e+00 9.176171424738e+01 -5.352830642814e-04 -5.227685063818e-04 4.237164449181e-04 -1.279812673889e-01 -1.830127335562e-01 9.817426773451e-01 9.992303342647e-03 1.001741460346e-02 6.447802604315e-01 4.914822846927e-03 -1.331838490087e+05 3.414726159492e-01 0.000000000000e+00 
1730951782 1.682160714982e+00 8.194252555241e-02 -8.127141189678e+01 5.237233483853e+00 8.542932287188e-01 3.709742920590e-01 5.595596532220e-01 2.073690384351e+00 9.221715678148e+01 -5.383412630626e-04 -5.235451272610e-04 4.024078227519e-04 -1.266339308071e-01 -1.819494732294e-01 9.829747938001e-01 9.991919729842e-03 1.001676442368e-02 6.450069561111e-01 4.913304668188e-03 -1.331834135050e+05 3.392831611721e-01 0.000000000000e+00 
